1,The scientific study of organisms in relation to their environment is known as,Ecology,Habitat,Adaptation,Biology,A,JSS 2,Basic Science,"LIVING THINGS – HABITAT
",2021-08-17 17:51:35,2021-08-17 17:51:35
2,Ecology is usually studied in which of these subjects?,Chemistry,Physics,Biology,Agricultural Sciences,C,JSS 2,Basic Science,"LIVING THINGS – HABITAT
",2021-08-17 17:51:35,2021-08-17 17:51:35
3,Ecology involves the following except,Finding out how living organisms depend on one another,Studying the distribution of living organisms in the environment,Studying the chemical composition of living organisms,Measuring factors which affect the environment,C,JSS 2,Basic Science,"LIVING THINGS – HABITAT
",2021-08-17 17:51:35,2021-08-17 17:51:35
4,Biotic factors in the environment of living organisms are made up of the following except,Food producers,Food distributors,Food consumers,Decomposers,B,JSS 2,Basic Science,"LIVING THINGS – HABITAT
",2021-08-17 17:51:35,2021-08-17 17:51:35
5,Abiotic factors in the environment of living organisms consists of the following except,Climatic factors,Edaphic factors,Chemical Factors,Sociological factors,D,JSS 2,Basic Science,"LIVING THINGS – HABITAT
",2021-08-17 17:51:35,2021-08-17 17:51:35
6,Which of these developmental stages does not occur in man,Adulthood,Childhood,Babyhood,Infancy,C,JSS 2,Basic Science,"LIVING THINGS – HABITAT
",2021-08-17 17:51:35,2021-08-17 17:51:35
7,The place where an organism lives is called,House,Habitat,Shelter,Accommodation,B,JSS 2,Basic Science,"LIVING THINGS – HABITAT
",2021-08-17 17:51:35,2021-08-17 17:51:35
8,The different examples of habitat include the following except,Aquatic,Terrestrial,Arboreal,Extraterrestrial,D,JSS 2,Basic Science,"LIVING THINGS – HABITAT
",2021-08-17 17:51:35,2021-08-17 17:51:35
9,Examples of fresh water habitat include the following except,Ocean,River,Stream,Lake,A,JSS 2,Basic Science,"LIVING THINGS – HABITAT
",2021-08-17 17:51:35,2021-08-17 17:51:35
10,Examples of salt water habitat include the following except,Limpopo River,Red Sea,Atlantic Ocean,Dead Sea,A,JSS 2,Basic Science,"LIVING THINGS – HABITAT
",2021-08-17 17:51:35,2021-08-17 17:51:35
11,The following are examples of terrestrial habitat in Nigeria except,Mangrove Swamp,Mountain land,Tropical Rainforest,Savanna,B,JSS 2,Basic Science,"LIVING THINGS – HABITAT
",2021-08-17 17:51:36,2021-08-17 17:51:36
12,The following are characteristics of primates except,Hands for holding things firmly,Five digits on their hands and feet,Ears positioned beside their head,Eyes positioned in front of their head,C,JSS 2,Basic Science,"LIVING THINGS – HABITAT
",2021-08-17 17:51:36,2021-08-17 17:51:36
13,The following are measures of growth in living things except,Weight,Height,Volume (size),Area,D,JSS 2,Basic Science,"LIVING THINGS – HABITAT
",2021-08-17 17:51:36,2021-08-17 17:51:36
14,The permanent increase in size and weight of an organism due to food intake and formation of new cell materials is known as,Development,Growth,Adaptation,Infancy,B,JSS 2,Basic Science,"LIVING THINGS – HABITAT
",2021-08-17 17:51:36,2021-08-17 17:51:36
15,The following are processes of growth except,Cell Division,Cell Enlargement,Cell Integration,Cell Differentiation,C,JSS 2,Basic Science,"LIVING THINGS – HABITAT
",2021-08-17 17:51:36,2021-08-17 17:51:36
16,Living cells grow by synthesizing new,Protoplasm,Cytoplasm,Plasma,Centrioles,A,JSS 2,Basic Science,"LIVING THINGS – HABITAT
",2021-08-17 17:51:36,2021-08-17 17:51:36
17,Growth in animals is referred to as,Intercalary,Binomial,Tropical,Apical,A,JSS 2,Basic Science,"LIVING THINGS – HABITAT
",2021-08-17 17:51:36,2021-08-17 17:51:36
18,Growth in  plants is referred to as,Intercalary,Binomial,Tropical,Apical,A,JSS 2,Basic Science,"LIVING THINGS – HABITAT
",2021-08-17 17:51:36,2021-08-17 17:51:36
19,The growth pattern of animals is,Constructive,Limited,Unlimited,Destructive,B,JSS 2,Basic Science,"LIVING THINGS – HABITAT
",2021-08-17 17:51:36,2021-08-17 17:51:36
20,The growth pattern of plants is,Constructive,Limited,Unlimited,Destructive,C,JSS 2,Basic Science,"LIVING THINGS – HABITAT
",2021-08-17 17:51:36,2021-08-17 17:51:36
21,The chemical requirement for growth in animals include the following except,Water,Organic Substances,Inorganic Substances,Soil,D,JSS 2,Basic Science,"LIVING THINGS – HABITAT
",2021-08-17 17:51:36,2021-08-17 17:51:36
